serie Name,serie Code,país Name,país Code,2000 [YR2000],2012 [YR2012],2017 [YR2017]
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Uruguay,URY,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Argentina,ARG,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Bulgaria,BGR,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,El Salvador,SLV,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Uruguay,URY,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Argentina,ARG,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Bulgaria,BGR,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,El Salvador,SLV,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Uruguay,URY,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Argentina,ARG,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Bulgaria,BGR,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,El Salvador,SLV,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Uruguay,URY,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Argentina,ARG,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Bulgaria,BGR,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,El Salvador,SLV,1,1,1
A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,Uruguay,URY,1,1,1
A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,Argentina,ARG,1,1,1
A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,Bulgaria,BGR,1,1,1
A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,El Salvador,SLV,1,1,1
A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,Uruguay,URY,1,1,1
A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,Argentina,ARG,1,1,1
A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,Bulgaria,BGR,1,1,1
A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,El Salvador,SLV,1,1,1
A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,Uruguay,URY,1,1,1
A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,Argentina,ARG,1,1,1
A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,Bulgaria,BGR,1,1,1
A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,El Salvador,SLV,1,1,1
A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,Uruguay,URY,1,1,1
A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,Argentina,ARG,1,1,1
A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,Bulgaria,BGR,1,1,1
A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,El Salvador,SLV,1,1,1
A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,Uruguay,URY,1,1,1
A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,Argentina,ARG,1,1,1
A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,Bulgaria,BGR,1,1,1
A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,El Salvador,SLV,1,1,1
A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,Uruguay,URY,1,1,1
A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,Argentina,ARG,1,1,1
A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,Bulgaria,BGR,1,1,1
A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,El Salvador,SLV,1,1,1
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,Uruguay,URY,1,1,1
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,Argentina,ARG,1,1,1
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,Bulgaria,BGR,0,1,1
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,El Salvador,SLV,1,1,1
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,Uruguay,URY,1,1,1
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,Argentina,ARG,0,0,0
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,Bulgaria,BGR,1,1,1
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,El Salvador,SLV,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Uruguay,URY,0,0,0
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Argentina,ARG,0,0,0
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Bulgaria,BGR,0,0,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,El Salvador,SLV,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Uruguay,URY,0,0,0
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Argentina,ARG,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Bulgaria,BGR,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,El Salvador,SLV,0,0,0
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Uruguay,URY,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Argentina,ARG,19,60,71
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Bulgaria,BGR,27,32,37
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,El Salvador,SLV,0,39,48
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Uruguay,URY,..,..,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Argentina,ARG,19,48,58
